,Comment
0,"zehn jahren eher kollabiert klima, dahin fuer dreitausend milliardaere endlich bewohnbaren planeten gefunden haben."
1,"menschen kontrollieren, sue mal kontrollieren koennen? erste frage stellen sollten."
2,kuenstliche intelligenz transformation weltwirtschaft segen.
3,"nein beherrschen, koennen denken."
4,gott spacken ahnung ki computer kommentieren beitrag ... kopf schuetteln - 0 ahnung ki ki mal ansatz verstanden
5,ki jahrhundert idealen menschen erschaffen ...
6,guck einfach terminator ... ja erklaert.
7,"welt verbessert technik, macht welt bereit fuer ende"
8,"ki ganze menge bildbearbeitung foto inverssuche, mal iask ai ai gefragt ""which german word does hide behind 'rindenfloh'if you swap characters?"" darauf reingefallen"
9,"egal, sprache, ki, groeßte krebsschaden, krebs sich, unserer welt. ueber bestimmen will. schlimmste krebs, stets ueber informiert bzw. regieren will. deshalb seid wachsam."
11,"dummheit erkennt daran, kuenstliche ""intelligenz"" schafft..."
14,"blabla wenig konkretes. praktische beispiele echte anwendung ki alltag, job privat? wurde doku chatgpt v3.5 erstellt worden?"
15,"normalerweise finde arte dokumentationen immer gut, langweilig. dabei stehe technik informatik. sorry arte habt leider verbockt ."
16,"egal, alexei grinbaum sagt, hoert irgendwie liebeserklaerung"
17,"erschaffung ki armutszeugnis unserer wissenschaft . anstatt menschliche intelligenz voran treiben , bauen lieber intelligente maschinen geben somit macht ab. menschheit duemmste universum."
18,"ki kommuniziert verriet mir, gibt verfuegung stellt neues wissen bekannter quellen analysieren darf."
20,bullshit!! wunschdenken fern realitaet!!! vielleicht sollten sogenannte experten mal up to date halten!!
21,warum koennen teile franzoesischen sprachen gesprochenes deutsch uebersetzt werden. macht unmoeglich beitrag hintergrund anzuhoeren.
22,ki uebertrifft waere sinnvoll macht abzugeben.sofern ki amis bringt maximal hochleistungs killer cowboy stande!und lust behinderte ki
25,hallo welt! komm mir! reich hand!
26,"2:10 mr. grinbaum ""die maschine ermoeglicht uns, fragen ueber stellen° guter einstieg thema!"
28,
29,contained grid with polar grid
30,autocad with extra chromosome
31,frau bartz unfassbar angenehme stimme! gibts podcast guten?
32,boah fuer unglaublich schlechter film
34,moral-gequatsche kaum infos ki zukunft koennen koennte.
35,seltsame doku seltsamen beispielen. arte schonmal besser.
37,beruhigen. ki tun kinofilmen kennst sorgen unberechtigt.
38,mittlerweile sicher. ganz gar nicht.
40,inhaltlose langwellige doku. haette besser spannender gestalten koennen. einseitig langweiliges gerede fuer eigentlich spannendes thema.
41,welt immer schlimmer.gott bewahre amin
42,angst technischem fortschritt?
43,chinesin irgendwie total sueß
44,
45,"ki fuehrt automatisch diktatur, elite beherrscht technik. bewachte volk."
47,wunderschoenen unterhaltung
48,#liverightliving
50,"warum machst kopf ueber sachen verstehst? lass professionals klaeren, bitte!"
51,"weder ki roboter problem. problem mensch, fuer maß dinge haelt. wahre problem macht- geldgierige menschen bloedsinn maschinen programmieren lassen ki fuer zwecke missbrauchen."
52,"problem, daher unbedingt verhindert werden."
53,"warum toetet volk, selbst, erhaettet kuenstliche intelligenz . . ."
54,google zukunfts
55,warum gibt voiceover mehr fuer franzoesische interviews?
56,fuer doku gibt leider version untertiteln interviews franzoesisch.
58,"hoffe, ki bald kennedy attentat aufklaeren wird. toedliche kopfschuss kam vorne, grashuegel, schulbuch-gebaeude..."
60,"nein, nicht. sozialen gesellschaftlichen verwerfungen anthropogenen klimawandel immens, ki gar raum einnehmen koennen."
61,europa lost
62,"ja genau, zeit schoenes kreativ sein. arbeitslosigkeit?? geld brot hause?? ja, finde auch, brot miete schoener leben laesst. absurd! optimismus, schon bloedsinn!"
63,"finde thema echt spannend! ki zweifellos potenzial, viele bereiche revolutionieren, gibt legitime bedenken... denke, schluessel liegt darin, verantwortungsvoll umzugehen technologie wohl menschen einzusetzen"
64,ja genau regierungen ja wohl menschen siehe china ki untergang
65,ja immer gut geschafft
66,"mal toller bericht interessanten menschen, gebieten hohe expertise vorweisen koennen. verzweifelt, voller hoffnung."
67,ja sicher. eigene hirn koennen bald rente schicken.
68,noe
70,ki herbeigefuehrte verdummung menschheit. viele jobs vernichten - haenden weniger - viele menschen kontrollieren ausbeuten.
71,sorgen sollten qie kontrolliert familien personen. angeblich ki schaden kleinste übel welt.
72,naechste schritt richtung untergang
73,fortschritt untergang.
74,offensichtlich hast ahnung thematik
75,"bild ""ki"" sieht ben affleck bat hoehle ! ;-)"
76,"yo cutter, kannst besser."
77,seit wann europa technologie krieg usa u. china ? vor. meinung liegt europa technologie ki weit usa china.
78,"enttaeuschend. wuerden mehr fakten realen einsatzmoeglichkeiten interessieren, statt rumzuphilosophieren. z.b. autonomen drohenensystemen! gehe davon aus, bald voellig autonome 24 std. drohnen gibt, selbststaendig per ki ueber vernichtende ziele entscheiden."
79,"tut schon laengst,es spaet,der mensch mittlerweile absoluten verlusts selbststaendigkeit. tun sei ki ai vollkommen neues,was eigentlich ist. ueber thema gesprochen wird,sollte eher deep learning machine learning reden."
80,chatbotts erstaunlich immer schrott.. ganz sicherlich gefahr
81,"build systeme with more dataset, you are doing the right thing."
82,mak the bullshiter more greedy.
83,"it has nothing to do with regulations, is about monopoles and preventin others from algorithm to make it transparent. as the professor said the responsibility is within the company and poeple who is using it normally and who want to make deep fakes. deep fakes were present even before 2019 and is done mostly by goverments, not by people."
84,that is the picture of the bullshiter.
85,aehmliche diskussion gab radio erfunden wurde
86,"bestimmt auch, vorzuege verbrennung fossiler brennstoffe bekannt wurden"
87,tut schon lange.... vereinfachter form aber... telefonnummer freunde? kopfrechnen? eben...
88,"erste satz ""bye-bye sprachassistenten [...] hello ki"" zeigt schon, problem liegt. leute wissen gar nicht, ki eigentlich wofuer benutzt wird. ki nuetzlich sein, nur, weiß, umgeht. erste schritt waere erkennen, ki tun hat."
89,"wer ausfuehrliche interviews leuten hoeren moechte, tatsaechlich daran arbeitet, geht rueber ai podcast lex fridman."
90,eigentlich heisst maschinelle intelligenz kuenstliche intelligenz
91,bisher 3 jahren informatikstudium nie jemanden maschinelle intelligenz sagen hoeren
92,"befuerchte maschinen viele routinearbeiten uebernehmen werden, teile bevoelkerung film ""idiocracv"" leben duemmer werden."
93,fernsehsessel gleichzeitig toilettenschuessel ist? weltklasse :)
94,"nutze fast taeglich ki anwendungen claude chatgpt einfach geflasht, ungeheuer smart apps laufen anstellen kann. google intelligenter sprechender form quasi."
95,"kd, kuenstliche dummheit menschheit abschaffen, ziel satanistischen scientologen silikon valley darueber hinaus."
96,"ja, ki beherrschen... kontrolle schon verloren bzw kontrolle verloren erschaffen haben....."
97,"hoffe, ki-entwicklung weiterhin schneller voranschreitet. mensch braucht mehr entlastung bereichen."
98,"mensch darf tatsaechlich mal anfangen,mehr ...wie frueher ki gelebt?ach ja richtig,man haenden eigenem kopf gemacht ;)"
99,finde nicht. mensch braucht mehr entlastung.
101,"lukas, schon klar, ki autonomen waffensystemen menge menscheleben kosten wird? pessimistums 80ger pc kisten nie geteit...heute jedoch technik, per ki ueberwachen ggfs. ""unschaedlich"" machen."
103,konsequenz ne suechtige burnnoutgesellschaft
104,"immerhin muessen saufen uebernehmen! komm mir, zeige meine!"
105,​ schlechter gelebt. menschheit besser dran je zuvor. technische innovationen verbessern leben.
107,internet??? mobile-internet?? iot? hey leute sorge!! deutschland!!
108,"clevere frauen, low-key racist sorry chinesische frau mag"
109,"immer frage perspektive wer ""uns"" gemeint :)"
110,"solange einseitig arte, her"
111,muessen sorgen modernere laender ueberholen. ah spaet
112,ki schwund trinkwasser stoppen?
113,natuerlich das.
114,"schwund? geringste problem.. kreislauf dauert gute ~80 jahre, heißt bald ploerre foerdern 60er, 70er jahren versickern lassen. wasser wegen damals fluesse fast komplett abgekackt sind."
116,"hallo, geht 's noch?! ""er"" klar kommt...??? arte, zukunft aufs korrekte gendern achten kommentar dementsprechend anpassen! solch genderfeindliche schreibweise unerwuenscht, dafuer gibt's kanaele benehmen koennen!!"
118,snoop easy
119,wuensche gute besserung... hoffe ganz schnell gesund!
120,wahrscheinlich schreibst unsinn ausgezeichneten kommentar yt-users ehemals simeht t abzulenken.
121,​​ jetzt?! sowas machst sorgen? witz
122,"jemand tatsaechlich probleme er! heißt mal ""der mensch"". dafuer heißt ausgleich: - welt - erde - seele - luft - kraft - energie usw. text prima."
123,maedels? wer maedels? abgehen? raetselhaft. satz posting koennte maedels gemeint haben? ????????
124,seeleeeee baaaaaumeln lassen waere oefter priiiiiima
125,"danke, danke nochmal danke, deutschen zuschauern franzoesischen originalton deutschem untertitel zumutet synchronisiert habt! authentischer besser, fuer all diejenigen, (ein wenig) franzoesisch sprechen sicherer sprache moechten."
126,"sinn dahinter, meisten arte produktionen"
127,"empfinde jemand latein eher nervig, doku hintergrund offen kann, haelfte inhalts verpassen."
128,"freut uns, gefaellt!"
129,gelbe schrift weißem hemd echt schwer lesen!
130,​*dass
131,"kommen deutscher, franzose chinese arte doku.."
132,glaubt kennen franzoesisch? mache soch bitte ordentliches dubbing.
133,untertitelt
134,video perfekt. finde angenehmer 2 stimmen gleichzeutig hoeren. spreche beide sprachen graus fuer hirn beide gleichzeitig hoeren. bitte mehr stil
136,ungeuebtes gehirn schaedlicher fuer gesundheit ungeuebter koerper. - george bernard shaw
137,hallo leute mache gerade doku abend. 8ch meinung ki ai vorsichtig betrachten einfach achtsam erstellt.
138,unaufhaltsam gut
139,"chatgpt bereits gesagt, kis welt uebernehmen, seite bin. we family now."
140,zitat ende einstein gesagt haben? gab zeit schon ki?
141,"autoren asimov zumindest zeit schon geschrieben science fiction, heute kuenstliche intelligenz nennen. link: https://de.m.wikipedia.org/wiki/robotergesetze"
142,"google sagt, zitat sei terry pratchet. einstein finde nichts. ja haeufiges problem, zitate falsch zugeordnet werden, scheint fall sein?"
143,"ach was, sorge bevor ki beherrscht rottet menschheit selber aus."
144,ja wuerde sicher anzug raum gehen.
145,"engel koennen dingen namen geben engeln zunge haben, totenreich orkus bezogen niemand spricht."
146,"heiße helberger, helberg. meine, kuenstliche intelligenz bedeutet erniedrigung menschen, unterwerfung menschen, totes; bleibt leben, liebe, menschlichkeit?"
147,
148,si
149,"ernie bot chinesische entwicklung billige kopie chatgpt, streng zensiert! wirklich grenzen durchbricht, ki huawei"
150,"zuviel moralisierung. sendung ""echten"" ki experten zeigt aktuell ki moeglich geplant wuerde mehr interessieren. gerne informationen darueber welch unternehmer derzeit fuehrend bestimmten bereichen."
151,über aktuelle ki themen woche sprechen youtube podcast hier. vielleicht fuer dich?
152,ok ok .....
153,arte falsch... schau einfach anstatt gute dokus schlecht reden....
156,"""wann mensch neugier begeisterungsfaehigkeit skepsis, einschraenkung angst eingetauscht?"" seit erste mal feuer gelangt hat."
157,"kritiklos gefallen lassen, grossen it unternehmen praesentiert ziemlich dumm"
160,"""i just said 'good luck !' "" ( r.a. zimmerman )"
161,boah waere geil menschheit endlich mal abgrund steuert. ganzen tiktok bettler. ganzen streamer ala mr.beast trymacs bezug geld verloren einfach schlag einfach wertlos geil! bitte apokalypse komm endlich
162,ki roboter vereinen waere interessant.
163,glueck beim reich werden.
164,
165,solange ki kaffe kochen beeindruckend
166,schon! google mal google bitte vergessen mal zuteilen dabei menscheit ausrotten soll. liegt naemlich naeher denken wuerde.
167,schon!
168,ki koennte politiker welt schon ersetzen. bereichen schon passiert. na ja technologie ja grad mal anfangs stadium. gucken 2050 aussieht.
169,chinesischen bloedsinn kaum anhoeren. wer wahrheit ueber chinesische ki wissen lieber serpentza informieren.
170,"duerftest fuer unwissenden gerne zusammenfassen. darf vorstellen, sowas chat gpt-klon russischen bank?"
172,natuerlich
173,seminararbeit ueber ki schreiben. guter einstieg thema. danke arte
174,hoert spannend an. konkrete thema?
175,​ ki marketing.
176,", erfolg!"
177,​
178,"​ paar vorschlaege: arxiv ( pre print fuer wissenschaftliche arbeiten, top aktuell) heise ki podcast ki podcast ard . ansonsten frag großen firmen leute it abteilung interviewen kannst"
179,"seminararbeit lol.bist anfaenger grundschueler, einstieg bezeichnest"
180,gleiche gedacht
181,helfen immer gerne!
182,
184,"glaube große angst menschen speist sorge, ki moeglichkeiten geld verdienen wegnimmt"
185,"neue technologie fuer weitere versuche, menschliche dummheit kaschieren."
186,yusuf harari? josef harari? yuval harari? ;)
187,yuval noah harari
188,schon klar ;)
190,"muessen dafuer sorgen, komplett uebernehmen"
191,schmeiss handy weg! puuh gerettet - that close.
192,okay
193,behalte handy
194,"sah ja schon beim terminator 2, maschinen tages beherrschen werden! affen unterwerfen vorher, siehe planet of the apes...!!"
195,"oh, man. checkst gar nichts."
196,"tut schon laengst,es spaet,der mensch mittlerweile absoluten verlusts selbststaendigkeit."
197,waeren bessere spezies? evolutionaer gesehen koennten rettung planeten bedeuten.
198,"besser waere, retten planeten, weise immer."
199,"ki? haetten dafuer sorgen muessen, chinesen usa komplett uebernehmen. ki mehr betreffen. ja bald mal mehr strom, etwas, ki betreiben"
200,"​ waer's. sichersten jedenfalls, mensch abschaffen koennte."
201,"​ frage gerade, rettung? natur sonne, mondlandschaften, ueberhaupt mensch fuer planeten tun, retten. natur egal, erde fuer gerettet werden."
202,matrix eintauchen;)
203,"tatsache,dass handy fragt,wann trinken wann essen jemand perfekte partner fuer etc pp. ja,unsere supertollen apps heutzutage, herrlich."
204,fern gesehen? passieren
205,"kinder, ki aufwachsen, 20 jahren ueber ängste lachen, ki einhergegangen sind."
206,bot's start :)
207,sage skynet
208,"zwei leute - gedanke kurze sequence fliegenden autonomen drohnen systematisch sektor menschen durchsuchen ...in ukraine sterben ja schon menschen seiten drohnen - (noch nicht) ""effizient"" zukunft. wirklich lustig."
209,erster
210,taeraeaeaeae toeroeoeoe schoen geboren haetten vermisst sieg
211,endlich erreicht leben.
